date,year,month,day,snow,temp
1882-12-24T12:00:00Z,1882,12,24,NA,-7.8
1883-12-24T12:00:00Z,1883,12,24,NA,-1.2
1884-12-24T12:00:00Z,1884,12,24,NA,-4.6
1885-12-24T12:00:00Z,1885,12,24,NA,0.9
1886-12-24T12:00:00Z,1886,12,24,NA,-1.7
1887-12-24T12:00:00Z,1887,12,24,NA,-3.2
1888-12-24T12:00:00Z,1888,12,24,NA,-8.7
1889-12-24T12:00:00Z,1889,12,24,NA,-1.7
1890-12-24T12:00:00Z,1890,12,24,NA,-5.1
1891-12-24T12:00:00Z,1891,12,24,NA,-1.4
1892-12-24T12:00:00Z,1892,12,24,NA,-11.6
1893-12-24T12:00:00Z,1893,12,24,NA,2.6
1894-12-24T12:00:00Z,1894,12,24,NA,-0.1
1895-12-24T12:00:00Z,1895,12,24,NA,-7.1
1896-12-24T12:00:00Z,1896,12,24,NA,-5.7
1897-12-24T12:00:00Z,1897,12,24,NA,-13.5
1898-12-24T12:00:00Z,1898,12,24,NA,1.8
1899-12-24T12:00:00Z,1899,12,24,NA,-10.6
1900-12-24T12:00:00Z,1900,12,24,NA,-2.2
1901-12-24T12:00:00Z,1901,12,24,NA,-12.8
1902-12-24T12:00:00Z,1902,12,24,NA,0.4
1903-12-24T12:00:00Z,1903,12,24,NA,1.6
1904-12-24T12:00:00Z,1904,12,24,NA,-7.1
1905-12-24T12:00:00Z,1905,12,24,NA,-4.1
1906-12-24T12:00:00Z,1906,12,24,NA,0.5
1907-12-24T12:00:00Z,1907,12,24,NA,-15
1908-12-24T12:00:00Z,1908,12,24,NA,1.9
1909-12-24T12:00:00Z,1909,12,24,NA,-4.3
1910-12-24T12:00:00Z,1910,12,24,NA,2.8
1911-12-24T12:00:00Z,1911,12,24,NA,-3.1
1912-12-24T12:00:00Z,1912,12,24,NA,0.7
1913-12-24T12:00:00Z,1913,12,24,NA,-11.9
1914-12-24T12:00:00Z,1914,12,24,NA,-0.3
1915-12-24T12:00:00Z,1915,12,24,NA,-23.9
1916-12-24T12:00:00Z,1916,12,24,NA,-4.7
1917-12-24T12:00:00Z,1917,12,24,NA,-0.4
1918-12-24T12:00:00Z,1918,12,24,NA,-2.5
1919-12-24T12:00:00Z,1919,12,24,NA,-12.7
1920-12-24T12:00:00Z,1920,12,24,NA,1.7
1921-12-24T12:00:00Z,1921,12,24,NA,-1.1
1922-12-24T12:00:00Z,1922,12,24,NA,1.1
1923-12-24T12:00:00Z,1923,12,24,NA,-17.9
1924-12-24T12:00:00Z,1924,12,24,NA,2.4
1925-12-24T12:00:00Z,1925,12,24,NA,-6.6
1926-12-24T12:00:00Z,1926,12,24,NA,-2.7
1927-12-24T12:00:00Z,1927,12,24,NA,-5.3
1928-12-24T12:00:00Z,1928,12,24,NA,2.8
1929-12-24T12:00:00Z,1929,12,24,NA,-1
1930-12-24T12:00:00Z,1930,12,24,NA,-5.4
1931-12-24T12:00:00Z,1931,12,24,NA,1.2
1932-12-24T12:00:00Z,1932,12,24,NA,2.7
1933-12-24T12:00:00Z,1933,12,24,NA,-1.4
1934-12-24T12:00:00Z,1934,12,24,NA,-4
1935-12-24T12:00:00Z,1935,12,24,NA,2
1936-12-24T12:00:00Z,1936,12,24,NA,1.7
1937-12-24T12:00:00Z,1937,12,24,NA,-2.1
1938-12-24T12:00:00Z,1938,12,24,NA,-10.8
1939-12-24T12:00:00Z,1939,12,24,NA,-15.8
1940-12-24T12:00:00Z,1940,12,24,NA,-6.4
1941-12-24T12:00:00Z,1941,12,24,NA,-9.9
1942-12-24T12:00:00Z,1942,12,24,NA,1.9
1943-12-24T12:00:00Z,1943,12,24,NA,2.5
1944-12-24T12:00:00Z,1944,12,24,NA,1.7
1945-12-24T12:00:00Z,1945,12,24,NA,-17.1
1946-12-24T12:00:00Z,1946,12,24,NA,0
1947-12-24T12:00:00Z,1947,12,24,NA,-11.8
1948-12-24T12:00:00Z,1948,12,24,NA,-3
1949-12-24T12:00:00Z,1949,12,24,NA,-0.8
1950-12-24T12:00:00Z,1950,12,24,NA,-2.8
1951-12-24T12:00:00Z,1951,12,24,NA,3.6
1952-12-24T12:00:00Z,1952,12,24,NA,1
1953-12-24T12:00:00Z,1953,12,24,NA,-0.5
1954-12-24T12:00:00Z,1954,12,24,NA,0.7
1955-12-24T12:00:00Z,1955,12,24,NA,-11.3
1956-12-24T12:00:00Z,1956,12,24,NA,-6.6
1957-12-24T12:00:00Z,1957,12,24,NA,3
1958-12-24T12:00:00Z,1958,12,24,NA,-0.1
1959-12-24T12:00:00Z,1959,12,24,29,-1.8
1960-12-24T12:00:00Z,1960,12,24,0,2.3
1961-12-24T12:00:00Z,1961,12,24,7,-4.8
1962-12-24T12:00:00Z,1962,12,24,5,-1.7
1963-12-24T12:00:00Z,1963,12,24,4,0.5
1964-12-24T12:00:00Z,1964,12,24,1,0.4
1965-12-24T12:00:00Z,1965,12,24,52,-2.4
1966-12-24T12:00:00Z,1966,12,24,35,-3.1
1967-12-24T12:00:00Z,1967,12,24,12,-18.7
1968-12-24T12:00:00Z,1968,12,24,5,0.9
1969-12-24T12:00:00Z,1969,12,24,19,-6.4
1970-12-24T12:00:00Z,1970,12,24,22,-7.7
1971-12-24T12:00:00Z,1971,12,24,2,0.1
1972-12-24T12:00:00Z,1972,12,24,0,2.4
1973-12-24T12:00:00Z,1973,12,24,25,-2.6
1974-12-24T12:00:00Z,1974,12,24,0,3.8
1975-12-24T12:00:00Z,1975,12,24,1,-1.4
1976-12-24T12:00:00Z,1976,12,24,10,-2.6
1977-12-24T12:00:00Z,1977,12,24,10,-0.3
1978-12-24T12:00:00Z,1978,12,24,14,-15
1979-12-24T12:00:00Z,1979,12,24,4,2.5
1980-12-24T12:00:00Z,1980,12,24,0,1
1981-12-24T12:00:00Z,1981,12,24,40,-10
1982-12-24T12:00:00Z,1982,12,24,0,2.5
1983-12-24T12:00:00Z,1983,12,24,0,1
1984-12-24T12:00:00Z,1984,12,24,7,2.4
1985-12-24T12:00:00Z,1985,12,24,0,1.7
1986-12-24T12:00:00Z,1986,12,24,16,-12.3
1987-12-24T12:00:00Z,1987,12,24,11,0.1
1988-12-24T12:00:00Z,1988,12,24,25,-7.2
1989-12-24T12:00:00Z,1989,12,24,26,-0.9
1990-12-24T12:00:00Z,1990,12,24,4,2
1991-12-24T12:00:00Z,1991,12,24,0,-0.4
1992-12-24T12:00:00Z,1992,12,24,0,1.7
1993-12-24T12:00:00Z,1993,12,24,4,-2
1994-12-24T12:00:00Z,1994,12,24,0,3.6
1995-12-24T12:00:00Z,1995,12,24,12,-17.9
1996-12-24T12:00:00Z,1996,12,24,10,-8.6
1997-12-24T12:00:00Z,1997,12,24,1,-2.2
1998-12-24T12:00:00Z,1998,12,24,1,-3.2
1999-12-24T12:00:00Z,1999,12,24,1,2.8
2000-12-24T12:00:00Z,2000,12,24,0,-3.1
2001-12-24T12:00:00Z,2001,12,24,26,-7.9
2002-12-24T12:00:00Z,2002,12,24,4,-11.8
2003-12-24T12:00:00Z,2003,12,24,24,-4
2004-12-24T12:00:00Z,2004,12,24,8,-0.1
2005-12-24T12:00:00Z,2005,12,24,1,0.6
2006-12-24T12:00:00Z,2006,12,24,0,4.1
2007-12-24T12:00:00Z,2007,12,24,0,3.5
2008-12-24T12:00:00Z,2008,12,24,0,-1
2009-12-24T12:00:00Z,2009,12,24,17,-3.5
2010-12-24T12:00:00Z,2010,12,24,48,-17.3
2011-12-24T12:00:00Z,2011,12,24,0,3.5
2012-12-24T12:00:00Z,2012,12,24,38,-9.2
2013-12-24T12:00:00Z,2013,12,24,0,4.3
2014-12-24T12:00:00Z,2014,12,24,9,-4.7
2015-12-24T12:00:00Z,2015,12,24,0,5.3
2016-12-24T12:00:00Z,2016,12,24,0,3.8
2017-12-24T12:00:00Z,2017,12,24,0,-0.1
2018-12-24T12:00:00Z,2018,12,24,5,-9.6
